AnimalID,Collar,Pen,Placement,Removal,"Lambing Time","Lambing Time(2nd)","Lambing Time(3rd)",Lambing Type,First lambing,Camera,Elapsed time,Filme(s) filename,Treat Data @WISEWARE,Assistance,Comments,Problems,,
30739,C93786F37B57,5,10/5/24 9:00 PM,21/5/24 9:43 AM,17/05/2024 21:02:30,,,Single,,CH3,###############################################################################################################################################################################################################################################################,,YES @24-05-2024,,,,POS_05_C93786F37B57_2024-05-17T21.02.00+02.00_1__annotated_class_all.csv,python3 filterAllClass.py ./lambData/POS_05_C93786F37B57_2024-05-17T21.02.00+02.00_1__annotated_class_all.csv '17/05/2024 21:02:30'  '17/05/2024 21:02:30' ;
0350,E67E79D0D2F7,6,23/4/24 2:00 PM,26/4/24 7:40 PM,25/04/2024 13:08:30,25/04/2024 14:21:06,,Double,,CH3,1:12,Pen06_Chan03_Lambing240425_130830_142106,YES,Second,"First lamb natural, second assisted",none,POS_06_E67E79D0D2F7_2024-04-25T13.08.00+02.00_2__annotated_class_all.csv,python3 filterAllClass.py ./lambData/POS_06_E67E79D0D2F7_2024-04-25T13.08.00+02.00_2__annotated_class_all.csv '25/04/2024 13:08:30'  '25/04/2024 14:21:06' ;
00135,E67E79D0D2F7,6,26/4/24 8:35 PM,4/5/24 10:34 AM,02/05/2024 06:31:00,,,Single,,CH3,###############################################################################################################################################################################################################################################################,Pen06_Chan03_Lambing240502_063100_,YES,None,"Farm managers notes ""only one lamb is expected""",none,POS_06_E67E79D0D2F7_2024-05-02T06.31.00+02.00_1__annotated_class_all.csv,python3 filterAllClass.py ./lambData/POS_06_E67E79D0D2F7_2024-05-02T06.31.00+02.00_1__annotated_class_all.csv '02/05/2024 06:31:00'  '02/05/2024 06:31:00' ;
00359,E67E79D0D2F7,6,5/5/24 2:30 PM,16/5/24 2:54 PM,10/05/2024 19:26:00,,,Single,,CH3,###############################################################################################################################################################################################################################################################,,YES @13-05-2024,,With rapid help,none,POS_06_E67E79D0D2F7_2024-05-10T19.26.00+02.00_1__annotated_class_all.csv,python3 filterAllClass.py ./lambData/POS_06_E67E79D0D2F7_2024-05-10T19.26.00+02.00_1__annotated_class_all.csv '10/05/2024 19:26:00'  '10/05/2024 19:26:00' ;
0230,E11D6666ED17,7,23/4/24 2:00 PM,4/5/24 2:07 PM,02/05/2024 21:49:44,02/05/2024 22:30:02,,Double,,CH4,0:40,Pen07_Chan04_Lambing240502_214944_223002,YES,None,,none,POS_07_E11D6666ED17_2024-05-02T21.49.00+02.00_2__annotated_class_all.csv,python3 filterAllClass.py ./lambData/POS_07_E11D6666ED17_2024-05-02T21.49.00+02.00_2__annotated_class_all.csv '02/05/2024 21:49:44'  '02/05/2024 22:30:02' ;
20247,E11D6666ED17,7,5/5/24 2:30 PM,16/5/24 2:48 PM,08/05/2024 02:41:47,08/05/2024 02:52:08,,Double,,CH4,0:10,,YES @17-05-2024,None,Both natural,none,POS_07_E11D6666ED17_2024-05-08T02.29.00+02.00_2__annotated_class_all.csv,python3 filterAllClass.py ./lambData/POS_07_E11D6666ED17_2024-05-08T02.29.00+02.00_2__annotated_class_all.csv '08/05/2024 02:41:47'  '08/05/2024 02:52:08' ;
10359,F199295AE047,8,23/4/24 2:00 PM,8/5/24 2:31 PM,03/05/2024 19:16:55,03/05/2024 19:45:25,,Double,,CH4,0:28,Pen08_Chan04_Lambing240503_191655_194525,YES,Second,"First natural, second with help",none,POS_08_F199295AE047_2024-05-03T19.16.00+02.00_2__annotated_class_all.csv,python3 filterAllClass.py ./lambData/POS_08_F199295AE047_2024-05-03T19.16.00+02.00_2__annotated_class_all.csv '03/05/2024 19:16:55'  '03/05/2024 19:45:25' ;
20405,F199295AE047,8,8/5/24 3:03 PM,16/5/24 2:48 PM,10/05/2024 04:34:07,10/05/2024 04:51:14,,Double,,CH4,0:17,,YES,Both,"Both aided, intervention from 4:32:20",,POS_08_F199295AE047_2024-05-10T04.34.00+02.00_2__annotated_class_all.csv,python3 filterAllClass.py ./lambData/POS_08_F199295AE047_2024-05-10T04.34.00+02.00_2__annotated_class_all.csv '10/05/2024 04:34:07'  '10/05/2024 04:51:14' ;
0091,FF6C81A617AF,9,23/4/24 2:00 PM,2/5/24 9:40 PM,30/04/2024 21:08:15,30/04/2024 22:28:10,30/04/2024 22:40:03,Triple,,CH5,1:31,Pen09_Chan05_Lambing240430_210815_222810_224003,YES,Second,"First natural, second with help",none,POS_09_FF6C81A617AF_2024-04-30T22.08.00+02.00_3__annotated_class_all.csv,python3 filterAllClass.py ./lambData/POS_09_FF6C81A617AF_2024-04-30T22.08.00+02.00_3__annotated_class_all.csv '30/04/2024 21:08:15'  '30/04/2024 22:40:03' ;
10084,FF6C81A617AF,9,2/5/24 10:01 PM,16/5/24 2:47 PM,12/05/2024 21:43:00,12/05/2024 21:45:00,12/05/2024 21:47:00,Triple,,CH5,0:02,,YES @13-05-2024,,All assisted,none,POS_09_FF6C81A617AF_2024-05-12T21.43.00+02.00_3__annotated_class_all.csv,python3 filterAllClass.py ./lambData/POS_09_FF6C81A617AF_2024-05-12T21.43.00+02.00_3__annotated_class_all.csv '12/05/2024 21:43:00'  '12/05/2024 21:47:00' ;
